n_samples,branch_mae,label_mean_mae,label_std_mae,pixel_mean_mae,pixel_var_mae
1,0.06922619047619047,0.5817811557894618,0.48045364673887764,0.40479154385004534,54.379785011929215
2,0.08101896367521366,0.3668856299187244,0.3755609637580329,0.3384158110953979,53.92224463586652
3,0.073575992943371,0.35232999659309333,0.35490798728137296,0.3395496976685308,49.09022647115903
5,0.05982039704817266,0.37723565799229086,0.38788525416809844,0.37725837683213154,46.05150850200767
7,0.06928608383211776,0.40651883192659916,0.3594529095102103,0.33421620362317955,46.60101849669567
10,0.07287162567878028,0.3852579203902124,0.37664890428111786,0.32708491958559094,48.8083195183948
15,0.08077252433858283,0.36416036198803675,0.39387581466788674,0.29891377269256797,49.36742163554314
20,0.08343317950098915,0.36385518421447255,0.39915720679798644,0.2942675750217667,50.31965122003597
30,0.07720578377580004,0.33652280351544545,0.4032721782194751,0.27938856639765874,50.08867030131192
40,0.07378249941512907,0.34458481461626017,0.39207911525178646,0.28822210214747757,49.921889303782265
50,0.07247880264858153,0.33048237469682945,0.3588035288951106,0.284564091677347,50.219878104280475
