image,1,2,3,4,5
0000,0.124451,0.129333,0.125183,0.126160,0.126038
0001,0.143494,0.141479,0.141541,0.141235,0.139343
0002,0.089111,0.089844,0.090637,0.088684,0.090637
0003,0.227600,0.222534,0.219788,0.219849,0.220337
