num_samples	m_hat_log_area_x0	sigma_hat_log_area_x0	m_err_log_area_x0	sigma_err_log_area_x0	m_hat_log_area_x1	sigma_hat_log_area_x1	m_err_log_area_x1	sigma_err_log_area_x1	m_hat_log_area_x2	sigma_hat_log_area_x2	m_err_log_area_x2	sigma_err_log_area_x2	m_hat_log_perimeter_x0	sigma_hat_log_perimeter_x0	m_err_log_perimeter_x0	sigma_err_log_perimeter_x0	m_hat_log_perimeter_x1	sigma_hat_log_perimeter_x1	m_err_log_perimeter_x1	sigma_err_log_perimeter_x1	m_hat_log_perimeter_x2	sigma_hat_log_perimeter_x2	m_err_log_perimeter_x2	sigma_err_log_perimeter_x2	m_hat_circularity_x0	sigma_hat_circularity_x0	m_err_circularity_x0	sigma_err_circularity_x0	m_hat_circularity_x1	sigma_hat_circularity_x1	m_err_circularity_x1	sigma_err_circularity_x1	m_hat_circularity_x2	sigma_hat_circularity_x2	m_err_circularity_x2	sigma_err_circularity_x2
1	4.991377962202198	0.7094541302399753	0.9913779622021979	-0.2905458697600247	9.598862759354034	1e-06	3.0988627593540343	-1.499999	0.0	1.0	-9.0	0.0	4.198499001900423	0.38975231408192523	0.6984990019004229	-0.11024768591807477	7.063903961472068	1e-06	2.063903961472068	-0.499999	0.0	1.0	-6.0	0.5	0.43491457486883	0.08652808268991159	-0.015085425131170005	-0.11347191731008842	0.13584005812092056	1e-06	-0.3641599418790794	-0.099999	0.0	1.0	-0.7	0.9
2	5.106940852514774	0.6945995288989044	1.1069408525147741	-0.3054004711010956	9.508555605000826	0.1277136024654844	3.0085556050008258	-1.3722863975345156	7.789454566086673	1e-06	-1.2105454339133273	-0.999999	4.292296265760908	0.4084749408305338	0.7922962657609078	-0.09152505916946618	6.9596563800409985	0.14742834350439105	1.9596563800409985	-0.35257165649560895	5.484796933490655	1e-06	-0.5152030665093452	-0.499999	0.4068147130186964	0.0958502239278285	-0.04318528698130364	-0.1041497760721715	0.1539839735086665	0.025659371215900142	-0.3460160264913335	-0.07434062878409986	0.5266531017892889	1e-06	-0.17334689821071103	-0.099999
3	5.024689404414381	0.6936028209421038	1.0246894044143806	-0.3063971790578962	9.549049424110907	0.11434434960135718	3.0490494241109065	-1.3856556503986428	7.789454566086673	1e-06	-1.2105454339133273	-0.999999	4.258344690207753	0.42488888762205296	0.7583446902077533	-0.07511111237794704	6.950586883884835	0.10542450149666206	1.950586883884835	-0.39457549850333795	5.484796933490655	1e-06	-0.5152030665093452	-0.499999	0.4037376081139578	0.10258249488270081	-0.0462623918860422	-0.0974175051172992	0.1634319815758093	0.024433506398142582	-0.3365680184241907	-0.07556649360185742	0.5266531017892889	1e-06	-0.17334689821071103	-0.099999
4	4.992970640751116	0.7470839226411151	0.9929706407511159	-0.2529160773588849	9.512584480747378	0.11847020118371013	3.0125844807473783	-1.3815297988162898	7.524542469594331	0.23580483462810548	-1.4754575304056692	-0.7641951653718946	4.232090185104926	0.4823320545994872	0.7320901851049264	-0.017667945400512808	6.892391336669549	0.14476338351472232	1.892391336669549	-0.3552366164852777	5.2996400305801625	0.20372050580903497	-0.7003599694198375	-0.296279494190965	0.4188818741173154	0.1259758085353238	-0.03111812588268459	-0.0740241914646762	0.17840909179517156	0.03598962089311891	-0.32159090820482844	-0.0640103791068811	0.5959659573112788	0.1371891285376926	-0.10403404268872118	0.0371891285376926
5	4.920623193019697	0.77448250201154	0.9206231930196971	-0.22551749798846	9.382139039263308	0.3092029389353171	2.8821390392633077	-1.190797061064683	7.909648781935855	0.7939123171004562	-1.0903512180641446	-0.20608768289954382	4.191845337598093	0.47933410746723765	0.6918453375980933	-0.020665892532762353	6.815069881361285	0.21356583331588727	1.8150698813612847	-0.2864341666841127	5.5123807150466915	0.4568396052962287	-0.48761928495330853	-0.04316039470377131	0.4221648201100945	0.12602370348087374	-0.027835179889905526	-0.07397629651912627	0.18241256483631957	0.032428052531393324	-0.31758743516368043	-0.06757194746860667	0.5709892338672771	0.12264821583950422	-0.1290107661327229	0.022648215839504215
6	4.794373692761831	0.7800569616220651	0.7943736927618312	-0.21994303837793494	8.85226294852011	1.2746601123434698	2.35226294852011	-0.22533988765653024	8.088584048061191	0.7954946403022423	-0.9114159519388085	-0.20450535969775774	4.1117135074853435	0.4970429608245537	0.6117135074853435	-0.0029570391754463188	6.485483535068964	0.7789582486894047	1.4854835350689637	0.27895824868940466	5.612647603245914	0.4547461523434651	-0.3873523967540864	-0.045253847656534896	0.4417982608562349	0.14685090914452348	-0.008201739143765097	-0.05314909085547653	0.21485631087098497	0.07697103818748631	-0.285143689129015	-0.023028961812513696	0.5573742891421454	0.1104933130818428	-0.14262571085785458	0.0104933130818428
7	4.746799607926011	0.7845967169969348	0.7467996079260111	-0.21540328300306522	8.849967572818676	1.1801238108154435	2.3499675728186755	-0.3198761891845565	8.257054841929143	0.8225228437670603	-0.7429451580708566	-0.1774771562329397	4.0669975480092475	0.5013442625362514	0.5669975480092475	0.0013442625362514171	6.500460333303868	0.7224182376265614	1.5004603333038684	0.22241823762656143	5.71725231023339	0.48071625601861123	-0.2827476897666097	-0.019283743981388768	0.4619405566630819	0.15263353919310396	0.011940556663081914	-0.04736646080689605	0.20778982215948627	0.07401121442988236	-0.29221017784051373	-0.025988785570117648	0.5359764600704785	0.1118669760140288	-0.16402353992952146	0.011866976014028793
8	4.792007356272653	0.8232426012423512	0.7920073562726531	-0.17675739875764884	8.930733034721687	1.1301828264818534	2.430733034721687	-0.3698171735181466	8.257054841929143	0.8225228437670603	-0.7429451580708566	-0.1774771562329397	4.1013700044629875	0.5431387047793933	0.6013700044629875	0.0431387047793933	6.57664744121703	0.7133669287316928	1.5766474412170304	0.21336692873169283	5.71725231023339	0.48071625601861123	-0.2827476897666097	-0.019283743981388768	0.45489029784027296	0.15909832268285914	0.00489029784027295	-0.040901677317140867	0.19626226606521377	0.07738806965076829	-0.3037377339347862	-0.022611930349231715	0.5359764600704785	0.1118669760140288	-0.16402353992952146	0.011866976014028793
9	4.724931045337239	0.8037615515777431	0.7249310453372386	-0.1962384484222569	8.782279210788259	1.1099980067058792	2.282279210788259	-0.3900019932941208	8.341589357500116	0.7834597079781942	-0.6584106424998843	-0.2165402920218058	4.055655494750541	0.5294335618748167	0.5556554947505408	0.029433561874816716	6.462888153018953	0.74856892823472	1.4628881530189526	0.24856892823472	5.763735242154675	0.4557390405196616	-0.2362647578453254	-0.044260959480338424	0.4642691579729926	0.15446795684306355	0.014269157972992608	-0.04553204315693646	0.22324021521350074	0.1255113382393964	-0.27675978478649926	0.025511338239396386	0.5302901333556901	0.1032223673240797	-0.16970986664430987	0.0032223673240796974
10	4.725892466236757	0.801831577919511	0.7258924662367567	-0.19816842208048902	8.82326144846063	1.0678208707082824	2.323261448460631	-0.43217912929171765	8.349729245092721	0.7257080403964918	-0.6502707549072788	-0.27429195960350816	4.048882103243179	0.5243596030849933	0.5488821032431792	0.024359603084993298	6.495773645479489	0.7227665626089972	1.4957736454794892	0.2227665626089972	5.764698477276593	0.42194115980262564	-0.23530152272340743	-0.07805884019737436	0.4705994627529125	0.154295980286967	0.020599462752912467	-0.045704019713033006	0.2170024975225535	0.12160553380402471	-0.2829975024774465	0.021605533804024704	0.5326648467519901	0.09580108966271075	-0.16733515324800985	-0.004198910337289252
